"Table 19. Number of Registered Maternal Deaths by Age Group and Place of Usual Residence, Philippines: 2021",,,,,,,,,,,
Place of Usual Residence (Region/Province/HUC),,Age Group,,,,,,,,,
,Total,Under 15,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 & over,
,,,,,,,,,,,
TOTAL," 2,478 ", 4 , 168 , 360 , 500 , 576 , 551 , 280 , 38 , 1 ,
,,,,,,,,,,,
 NATIONAL CAPITAL REGION (NCR) , 314 , - , 21 , 37 , 67 , 83 , 69 , 33 , 4 , - ,
     City of Caloocan , 39 , - , - , 5 , 10 , 8 , 11 , 4 , 1 , - ,
     City of Las Piñas , 16 , - , 2 , 3 , 2 , 3 , 6 , - , - , - ,
     City of Makati , 17 , - , 1 , 2 , 3 , 4 , 4 , 3 , - , - ,
     City of Malabon , 4 , - , 2 , 1 , 1 , - , - , - , - , - ,
     City of Mandaluyong , 6 , - , - , - , 2 , 2 , 2 , - , - , - ,
     City of Manila , 41 , - , 3 , 6 , 8 , 9 , 8 , 6 , 1 , - ,
     City of Marikina , 14 , - , 1 , 2 , 3 , 4 , 4 , - , - , - ,
     City of Muntinlupa , 17 , - , 1 , - , 4 , 5 , 5 , 2 , - , - ,
     City of Navotas , 9 , - , 1 , 2 , 3 , 1 , - , 2 , - , - ,
     City of Parañaque , 17 , - , 2 , 2 , 2 , 4 , 5 , 2 , - , - ,
     Pasay City , 6 , - , - , 1 , 1 , 2 , 1 , 1 , - , - ,
     City of Pasig , 9 , - , - , 1 , 3 , 3 , 2 , - , - , - ,
     Quezon City , 69 , - , 5 , 6 , 17 , 21 , 13 , 6 , 1 , - ,
     City of San Juan , 3 , - , - , - , - , 2 , - , - , 1 , - ,
     City of Taguig , 29 , - , 2 , 4 , 4 , 9 , 5 , 5 , - , - ,
     City of Valenzuela , 18 , - , 1 , 2 , 4 , 6 , 3 , 2 , - , - ,
     Pateros , - , - , - , - , - , - , - , - , - , - ,
 CORDILLERA ADMINISTRATIVE REGION (CAR) , 32 , - , - , 3 , 7 , 7 , 9 , 5 , 1 , - ,
    Abra , 9 , - , - , 1 , 4 , 2 , 1 , 1 , - , - ,
    Apayao , 2 , - , - , 1 , - , 1 , - , - , - , - ,
    Benguet , 4 , - , - , - , - , 1 , 2 , 1 , - , - ,
    Ifugao , 6 , - , - , - , 1 , 1 , 3 , 1 , - , - ,
    Kalinga , 4 , - , - , - , 1 , 1 , 1 , 1 , - , - ,
    Mountain Province , 2 , - , - , - , 1 , - , 1 , - , - , - ,
    City of Baguio , 5 , - , - , 1 , - , 1 , 1 , 1 , 1 , - ,
 REGION I (ILOCOS REGION) , 110 , - , 11 , 19 , 19 , 28 , 20 , 13 , - , - ,
    Ilocos Norte , 18 , - , 2 , 2 , 4 , 6 , 3 , 1 , - , - ,
    Ilocos Sur , 15 , - , 1 , 3 , 2 , 7 , 2 , - , - , - ,
    La Union , 16 , - , 1 , 2 , 4 , 4 , 1 , 4 , - , - ,
    Pangasinan , 61 , - , 7 , 12 , 9 , 11 , 14 , 8 , - , - ,
 REGION II (CAGAYAN VALLEY) , 97 , - , 5 , 15 , 21 , 17 , 27 , 11 , 1 , - ,
    Batanes , - , - , - , - , - , - , - , - , - , - ,
    Cagayan , 34 , - , 2 , 6 , 8 , 3 , 10 , 4 , 1 , - ,
    Isabela , 34 , - , 2 , 6 , 10 , 6 , 7 , 3 , - , - ,
    Nueva Vizcaya , 20 , - , 1 , 1 , 3 , 5 , 8 , 2 , - , - ,
    Quirino , 9 , - , - , 2 , - , 3 , 2 , 2 , - , - ,
